node_id,phase,start_day,duration,trigger,age_min,age_max,coverage,seek,rate,drug,year
1,burnin,16425,1825,NewClinicalCase,0,5,0.102379084,1,0.3,AL,2005
1,burnin,16425,1825,NewClinicalCase,5,15,0.06142745,1,0.3,AL,2005
1,burnin,16425,1825,NewClinicalCase,15,115,0.040951634,1,0.3,AL,2005
1,burnin,16425,1825,NewSevereCase,0,115,0.6,1,0.5,AL,2005
1,pickup,18251,365,NewClinicalCase,0,5,0.102379084,1,0.3,AL,2010
1,pickup,18251,365,NewClinicalCase,5,15,0.06142745,1,0.3,AL,2010
1,pickup,18251,365,NewClinicalCase,15,115,0.040951634,1,0.3,AL,2010
1,pickup,18251,365,NewSevereCase,0,115,0.6,1,0.5,AL,2010
1,pickup,18616,365,NewClinicalCase,0,5,0.107570691,1,0.3,AL,2011
1,pickup,18616,365,NewClinicalCase,5,15,0.064542415,1,0.3,AL,2011
1,pickup,18616,365,NewClinicalCase,15,115,0.043028276,1,0.3,AL,2011
1,pickup,18616,365,NewSevereCase,0,115,0.6,1,0.5,AL,2011
1,pickup,18981,365,NewClinicalCase,0,5,0.115358101,1,0.3,AL,2012
1,pickup,18981,365,NewClinicalCase,5,15,0.069214861,1,0.3,AL,2012
1,pickup,18981,365,NewClinicalCase,15,115,0.04614324,1,0.3,AL,2012
1,pickup,18981,365,NewSevereCase,0,115,0.6,1,0.5,AL,2012
1,pickup,19346,365,NewClinicalCase,0,5,0.123145512,1,0.3,AL,2013
1,pickup,19346,365,NewClinicalCase,5,15,0.073887307,1,0.3,AL,2013
1,pickup,19346,365,NewClinicalCase,15,115,0.049258205,1,0.3,AL,2013
1,pickup,19346,365,NewSevereCase,0,115,0.6,1,0.5,AL,2013
1,pickup,19711,365,NewClinicalCase,0,5,0.314515422,1,0.3,AL,2014
1,pickup,19711,365,NewClinicalCase,5,15,0.188709253,1,0.3,AL,2014
1,pickup,19711,365,NewClinicalCase,15,115,0.125806169,1,0.3,AL,2014
1,pickup,19711,365,NewSevereCase,0,115,0.6,1,0.5,AL,2014
1,pickup,20076,365,NewClinicalCase,0,5,0.505885333,1,0.3,AL,2015
1,pickup,20076,365,NewClinicalCase,5,15,0.3035312,1,0.3,AL,2015
1,pickup,20076,365,NewClinicalCase,15,115,0.202354133,1,0.3,AL,2015
1,pickup,20076,365,NewSevereCase,0,115,0.6,1,0.5,AL,2015
1,pickup,20441,365,NewClinicalCase,0,5,0.697255243,1,0.3,AL,2016
1,pickup,20441,365,NewClinicalCase,5,15,0.418353146,1,0.3,AL,2016
1,pickup,20441,365,NewClinicalCase,15,115,0.278902097,1,0.3,AL,2016
1,pickup,20441,365,NewSevereCase,0,115,0.697255243,1,0.5,AL,2016
1,pickup,20806,365,NewClinicalCase,0,5,0.888625154,1,0.3,AL,2017
1,pickup,20806,365,NewClinicalCase,5,15,0.533175092,1,0.3,AL,2017
1,pickup,20806,365,NewClinicalCase,15,115,0.355450062,1,0.3,AL,2017
1,pickup,20806,365,NewSevereCase,0,115,0.888625154,1,0.5,AL,2017
1,pickup,21171,365,NewClinicalCase,0,5,0.868468865,1,0.3,AL,2018
1,pickup,21171,365,NewClinicalCase,5,15,0.521081319,1,0.3,AL,2018
1,pickup,21171,365,NewClinicalCase,15,115,0.347387546,1,0.3,AL,2018
1,pickup,21171,365,NewSevereCase,0,115,0.868468865,1,0.5,AL,2018
1,pickup,21536,365,NewClinicalCase,0,5,0.848312577,1,0.3,AL,2019
1,pickup,21536,365,NewClinicalCase,5,15,0.508987546,1,0.3,AL,2019
1,pickup,21536,365,NewClinicalCase,15,115,0.339325031,1,0.3,AL,2019
1,pickup,21536,365,NewSevereCase,0,115,0.848312577,1,0.5,AL,2019
1,pickup,21901,365,NewClinicalCase,0,5,0.848312577,1,0.3,AL,2020
1,pickup,21901,365,NewClinicalCase,5,15,0.508987546,1,0.3,AL,2020
1,pickup,21901,365,NewClinicalCase,15,115,0.339325031,1,0.3,AL,2020
1,pickup,21901,365,NewSevereCase,0,115,0.848312577,1,0.5,AL,2020
